name,website,actual-website,address,company-overview
24 ICE |FROZEN COCKTAILS,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/24-ice-frozen-cocktails,http://www.24ice.com/,address,"24 ICE has developed a unique range of frozen cocktails in the flavors Mojito, Strawberry Daiquiri, Limoncello, Pina Colada and Vodka Energy. The 24 ICE frozen cocktails contain 5% alcohol."
3/4 OZ Craft Cocktail Mixers,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/34-oz-craft-cocktail-mixers,http://www.34oztonicmaison.com/en/,address,3/4 OZ makes delicate natural syrups for both alcoholic and non alcoholic beverages.
A. Zorbas & Sons Ltd,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/a-zorbas-sons-ltd,http://www.zorbas.com.cy/,address,"The main activity of A.Zorbas and Sons is the production, distribution of bakery and confectionery products. The Company maintains 64 stores all over Cyprus, as well as three production units."
